,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
202,0.629,0.624,2,-7.957,1,0.0915,0.209,0.0,0.215,0.66,119.964,audio_features,6UBqk9rh6e2Rj7LLzDjn6R,spotify:track:6UBqk9rh6e2Rj7LLzDjn6R,https://api.spotify.com/v1/tracks/6UBqk9rh6e2Rj7LLzDjn6R,https://api.spotify.com/v1/audio-analysis/6UBqk9rh6e2Rj7LLzDjn6R,261707,4
203,0.572,0.324,0,-9.297,1,0.0512,0.737,0.0,0.124,0.234,94.048,audio_features,0I5mUa3CZPcsrWwlUmTWkV,spotify:track:0I5mUa3CZPcsrWwlUmTWkV,https://api.spotify.com/v1/tracks/0I5mUa3CZPcsrWwlUmTWkV,https://api.spotify.com/v1/audio-analysis/0I5mUa3CZPcsrWwlUmTWkV,222333,3
204,0.555,0.41,6,-8.308,1,0.0431,0.227,0.0,0.13,0.433,169.804,audio_features,6xrvubhznLOcEO3AM6XBN2,spotify:track:6xrvubhznLOcEO3AM6XBN2,https://api.spotify.com/v1/tracks/6xrvubhznLOcEO3AM6XBN2,https://api.spotify.com/v1/audio-analysis/6xrvubhznLOcEO3AM6XBN2,292800,4
205,0.686,0.603,6,-6.112,1,0.202,0.0981,0.0,0.102,0.778,133.034,audio_features,5ehwXxbiFNYwlmntoKom7h,spotify:track:5ehwXxbiFNYwlmntoKom7h,https://api.spotify.com/v1/tracks/5ehwXxbiFNYwlmntoKom7h,https://api.spotify.com/v1/audio-analysis/5ehwXxbiFNYwlmntoKom7h,267627,4
206,0.759,0.678,9,-5.148,0,0.314,0.23,0.0,0.15,0.327,89.64,audio_features,5ljCWsDlSyJ41kwqym2ORw,spotify:track:5ljCWsDlSyJ41kwqym2ORw,https://api.spotify.com/v1/tracks/5ljCWsDlSyJ41kwqym2ORw,https://api.spotify.com/v1/audio-analysis/5ljCWsDlSyJ41kwqym2ORw,205560,4
207,0.394,0.744,5,-5.465,0,0.276,0.00175,0.0,0.308,0.772,78.696,audio_features,0EIsxWGPSte4cAHZw5aXr4,spotify:track:0EIsxWGPSte4cAHZw5aXr4,https://api.spotify.com/v1/tracks/0EIsxWGPSte4cAHZw5aXr4,https://api.spotify.com/v1/audio-analysis/0EIsxWGPSte4cAHZw5aXr4,236680,4
208,0.853,0.811,6,-4.927,0,0.0646,0.0439,0.000307,0.0703,0.9,114.964,audio_features,6W2Ef5Ph6ILTUAedoQ3QIv,spotify:track:6W2Ef5Ph6ILTUAedoQ3QIv,https://api.spotify.com/v1/tracks/6W2Ef5Ph6ILTUAedoQ3QIv,https://api.spotify.com/v1/audio-analysis/6W2Ef5Ph6ILTUAedoQ3QIv,283627,4
209,0.729,0.856,7,-7.343,1,0.144,0.111,0.0,0.409,0.722,97.613,audio_features,3bBLukcEAg6Pils5avooBG,spotify:track:3bBLukcEAg6Pils5avooBG,https://api.spotify.com/v1/tracks/3bBLukcEAg6Pils5avooBG,https://api.spotify.com/v1/audio-analysis/3bBLukcEAg6Pils5avooBG,203207,4
210,0.684,0.555,2,-5.573,1,0.292,0.204,0.0,0.725,0.553,84.754,audio_features,5hzoEKZvvov9EKzrx419Ys,spotify:track:5hzoEKZvvov9EKzrx419Ys,https://api.spotify.com/v1/tracks/5hzoEKZvvov9EKzrx419Ys,https://api.spotify.com/v1/audio-analysis/5hzoEKZvvov9EKzrx419Ys,253973,4
211,0.868,0.805,11,-3.218,0,0.178,0.126,0.0,0.096,0.544,143.983,audio_features,4mZpHYUrOvvmXCoyLLF7s7,spotify:track:4mZpHYUrOvvmXCoyLLF7s7,https://api.spotify.com/v1/tracks/4mZpHYUrOvvmXCoyLLF7s7,https://api.spotify.com/v1/audio-analysis/4mZpHYUrOvvmXCoyLLF7s7,231200,4
