,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,time_signature,cluster
19240,1nmwT930XXGwjccTSqkctl,0.226,0.525,-5.441,0.0377,0.00226,0.0,0.1,85.33,5,10
19241,5eUS6rHmHP5T1A3zZwyG50,0.571,0.647,-6.079,0.0532,0.196,0.0,0.649,81.979,4,28
19242,2MuJbBWAVewREJmB8WdGJ3,0.78,0.754,-5.377,0.0952,0.135,0.034,0.81,82.394,4,27
19243,4TOMI010Sd4ZAX4aZ5TS85,0.4,0.267,-12.488,0.0323,0.744,0.00734,0.0872,144.799,3,22
19244,3okj5Ww1BYh7k5VsBFXUw3,0.795,0.572,-9.144,0.0588,0.0849,0.835,0.606,91.047,4,20
19245,3wtV2ifnHzirkAElgTGh63,0.451,0.636,-5.796,0.0274,0.017,0.435,0.289,97.041,3,3
19246,40giQGxrr3uWn2lZzIb111,0.537,0.802,-7.908,0.03,0.504,0.106,0.537,144.976,4,14
19247,7hVJdledWUXvvHlw8SzXxM,0.432,0.901,-8.287,0.0322,0.00311,0.877,0.636,144.916,4,7
19248,5AezhHjX3R1bmxcAEgrFpS,0.502,0.594,-5.031,0.0365,0.0256,0.0,0.349,153.687,5,24
19249,4Eq0F51L7foy3hFvz0zQNp,0.441,0.11,-12.508,0.039,0.824,0.0,0.261,120.205,4,18
19250,6ZRzogeTcV8cEab5zlF7Bf,0.547,0.23,-14.727,0.054,0.97,0.884,0.388,90.868,4,17
19251,6Xy7bkDe5xz2f7vtlUIjQE,0.653,0.802,-5.308,0.0666,0.161,0.0,0.56,167.952,5,5
19252,432hUIl3ISDeytYW5XBQ5h,0.395,0.392,-8.034,0.0925,0.219,0.00173,0.103,155.856,4,24
19253,1YhrdNVxbHxYnAYAqWiRzr,0.717,0.129,-17.827,0.0436,0.625,0.00266,0.0766,125.993,3,22
19254,55Fpeuuc2sbQiy74eA1gTt,0.445,0.907,-3.894,0.0773,0.00161,0.0,0.71,165.069,4,21
19255,2mueIraiRiGExPHAS0fkho,0.362,0.72,-6.169,0.0334,0.00108,0.000417,0.436,135.637,5,0
19256,6Zgd7SomLTZkL1WPh4CUnV,0.345,0.785,-4.989,0.0437,0.00165,0.00813,0.184,175.963,4,21
19257,4hJfmMjy3wFIOknfYwhouY,0.627,0.818,-4.243,0.057,0.114,0.0,0.527,123.456,4,0
19258,65QpqPsptQU1VPyq4QbjWk,0.582,0.563,-9.314,0.0388,0.228,0.000343,0.31,99.985,4,10
19259,1CA3nqyTok3Pn9r4BKrzv3,0.645,0.867,-4.468,0.0798,0.246,0.0,0.44,128.033,4,0
19260,43mmknFSSIj4pfMlB3yVgZ,0.611,0.816,-5.571,0.0366,0.0486,0.00393,0.558,144.956,3,3
