,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
260,0.624,0.842,5,-5.285,1,0.0376,0.264,2.11e-05,0.181,0.257,111.037,audio_features,1z3ugFmUKoCzGsI6jdY4Ci,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,https://api.spotify.com/v1/tracks/1z3ugFmUKoCzGsI6jdY4Ci,https://api.spotify.com/v1/audio-analysis/1z3ugFmUKoCzGsI6jdY4Ci,342680,4
261,0.703,0.7,5,-6.789,1,0.0693,0.302,0.471,0.0718,0.582,97.675,audio_features,29rQJydAlO0uMyWvRIZxQg,spotify:track:29rQJydAlO0uMyWvRIZxQg,https://api.spotify.com/v1/tracks/29rQJydAlO0uMyWvRIZxQg,https://api.spotify.com/v1/audio-analysis/29rQJydAlO0uMyWvRIZxQg,265107,4
262,0.768,0.934,2,-4.849,1,0.205,0.00626,1.04e-05,0.325,0.407,92.291,audio_features,21pvCJBSp34fC17YHOtw05,spotify:track:21pvCJBSp34fC17YHOtw05,https://api.spotify.com/v1/tracks/21pvCJBSp34fC17YHOtw05,https://api.spotify.com/v1/audio-analysis/21pvCJBSp34fC17YHOtw05,286707,4
263,0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,audio_features,5LxvwujISqiB8vpRYv887S,spotify:track:5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/tracks/5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/audio-analysis/5LxvwujISqiB8vpRYv887S,176333,4
264,0.771,0.464,5,-10.175,0,0.0433,0.0892,0.0,0.0716,0.351,119.546,audio_features,0qO7FkKWdHPc1Si1Z2nLZm,spotify:track:0qO7FkKWdHPc1Si1Z2nLZm,https://api.spotify.com/v1/tracks/0qO7FkKWdHPc1Si1Z2nLZm,https://api.spotify.com/v1/audio-analysis/0qO7FkKWdHPc1Si1Z2nLZm,225267,4
265,0.592,0.637,11,-8.48,1,0.0992,0.562,0.0,0.13,0.565,159.701,audio_features,5ubHAQtKuFfiG4FXfLP804,spotify:track:5ubHAQtKuFfiG4FXfLP804,https://api.spotify.com/v1/tracks/5ubHAQtKuFfiG4FXfLP804,https://api.spotify.com/v1/audio-analysis/5ubHAQtKuFfiG4FXfLP804,185093,4
266,0.757,0.544,5,-10.722,1,0.219,0.154,6.07e-05,0.226,0.921,173.208,audio_features,7sJN693sYKEIEMu7fc5VnJ,spotify:track:7sJN693sYKEIEMu7fc5VnJ,https://api.spotify.com/v1/tracks/7sJN693sYKEIEMu7fc5VnJ,https://api.spotify.com/v1/audio-analysis/7sJN693sYKEIEMu7fc5VnJ,308360,4
267,0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,audio_features,0wJoRiX5K5BxlqZTolB2LD,spotify:track:0wJoRiX5K5BxlqZTolB2LD,https://api.spotify.com/v1/tracks/0wJoRiX5K5BxlqZTolB2LD,https://api.spotify.com/v1/audio-analysis/0wJoRiX5K5BxlqZTolB2LD,170813,4
268,0.698,0.774,0,-8.642,1,0.048,0.12,2.26e-06,0.394,0.731,133.197,audio_features,0snPJPxkk0MbTc0xeUvAPt,spotify:track:0snPJPxkk0MbTc0xeUvAPt,https://api.spotify.com/v1/tracks/0snPJPxkk0MbTc0xeUvAPt,https://api.spotify.com/v1/audio-analysis/0snPJPxkk0MbTc0xeUvAPt,270720,4
269,0.661,0.79,0,-5.669,1,0.0514,0.371,0.0,0.285,0.822,91.817,audio_features,3PQQsoMJOpSu12RDMan0AA,spotify:track:3PQQsoMJOpSu12RDMan0AA,https://api.spotify.com/v1/tracks/3PQQsoMJOpSu12RDMan0AA,https://api.spotify.com/v1/audio-analysis/3PQQsoMJOpSu12RDMan0AA,214147,4
270,0.524,0.641,0,-8.967,1,0.0497,0.0437,2.78e-05,0.159,0.482,141.65,audio_features,7ndGFo9nZ108KPgXtfYWCe,spotify:track:7ndGFo9nZ108KPgXtfYWCe,https://api.spotify.com/v1/tracks/7ndGFo9nZ108KPgXtfYWCe,https://api.spotify.com/v1/audio-analysis/7ndGFo9nZ108KPgXtfYWCe,184543,4
271,0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091,audio_features,6OnfBiiSc9RGKiBKKtZXgQ,spotify:track:6OnfBiiSc9RGKiBKKtZXgQ,https://api.spotify.com/v1/tracks/6OnfBiiSc9RGKiBKKtZXgQ,https://api.spotify.com/v1/audio-analysis/6OnfBiiSc9RGKiBKKtZXgQ,296080,4
272,0.8,0.878,1,-7.109,1,0.0434,0.189,0.000104,0.14,0.816,104.282,audio_features,2NVpYQqdraEcQwqT7GhUkh,spotify:track:2NVpYQqdraEcQwqT7GhUkh,https://api.spotify.com/v1/tracks/2NVpYQqdraEcQwqT7GhUkh,https://api.spotify.com/v1/audio-analysis/2NVpYQqdraEcQwqT7GhUkh,280853,4
273,0.581,0.827,1,-4.566,1,0.141,0.0101,0.0,0.0522,0.549,174.013,audio_features,5i66xrvSh1MjjyDd6zcwgj,spotify:track:5i66xrvSh1MjjyDd6zcwgj,https://api.spotify.com/v1/tracks/5i66xrvSh1MjjyDd6zcwgj,https://api.spotify.com/v1/audio-analysis/5i66xrvSh1MjjyDd6zcwgj,275987,4
